tenure,monthly_charges,total_charges,support_calls,contract_type,internet_service,payment_method,tech_support,online_security,streaming_services,churn
29,57.2,1663.45,7,One year,Fiber optic,Bank transfer,No,Yes,No,0
55,29.24,1580.7,5,Month-to-month,Fiber optic,Credit card,Yes,Yes,Yes,0
3,65.79,171.87,9,Month-to-month,DSL,Electronic check,Yes,No,Yes,1
32,59.45,1916.76,2,Month-to-month,No,Mailed check,Yes,No,Yes,1
10,106.71,1114.29,3,Month-to-month,No,Electronic check,No,Yes,No,1
34,44.4,1479.69,6,Month-to-month,DSL,Electronic check,No,No,No,1
55,116.67,6373.41,2,Month-to-month,No,Electronic check,No,No,Yes,1
32,115.81,3736.59,0,Two year,Fiber optic,Electronic check,No,No,Yes,0
50,44.76,2236.37,5,Month-to-month,DSL,Credit card,No,No,Yes,1
7,54.81,425.19,2,One year,Fiber optic,Electronic check,No,No,Yes,1
8,109.56,831.19,10,One year,Fiber optic,Mailed check,Yes,No,No,1
65,116.66,7493.93,9,Month-to-month,Fiber optic,Electronic check,Yes,Yes,No,0
57,64.34,3640.73,5,One year,Fiber optic,Electronic check,No,Yes,No,0
67,52.1,3452.38,9,Two year,DSL,Bank transfer,Yes,No,No,0
59,72.61,4280.05,2,Month-to-month,No,Bank transfer,No,Yes,Yes,0
72,88.78,6360.32,5,Two year,No,Electronic check,No,No,Yes,0
54,47.35,2593.95,10,Month-to-month,Fiber optic,Bank transfer,No,Yes,No,0
67,93.65,6260.14,3,One year,DSL,Mailed check,No,No,No,0
51,25.17,1291.19,3,Month-to-month,Fiber optic,Mailed check,No,Yes,Yes,1
8,24.93,207.32,9,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,1
34,58.63,2003.17,9,One year,No,Mailed check,No,No,No,1
35,55.35,1936.04,10,Month-to-month,No,Bank transfer,Yes,Yes,No,0
32,51.56,1675.45,1,Month-to-month,No,Mailed check,No,No,Yes,1
46,69.1,3138.82,3,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,No,0
16,52.07,903.09,10,One year,No,Credit card,Yes,No,Yes,1
68,39.23,2655.81,3,Month-to-month,DSL,Electronic check,No,No,Yes,0
37,50.95,1819.57,10,Month-to-month,Fiber optic,Bank transfer,Yes,No,No,1
54,117.49,6353.86,6,Month-to-month,DSL,Mailed check,No,No,No,0
14,61.11,812.98,4,One year,No,Bank transfer,Yes,Yes,Yes,1
55,64.47,3579.12,7,One year,No,Mailed check,No,No,No,0
48,77.65,3837.68,6,Month-to-month,DSL,Credit card,Yes,No,Yes,1
7,118.33,788.98,9,Month-to-month,Fiber optic,Electronic check,No,No,Yes,1
7,44.16,325.74,8,Month-to-month,No,Electronic check,Yes,Yes,Yes,1
33,88.13,2820.51,7,Two year,Fiber optic,Electronic check,Yes,No,No,1
23,91.6,2129.5,8,One year,Fiber optic,Bank transfer,No,No,Yes,1
19,80.73,1489.58,0,Month-to-month,Fiber optic,Electronic check,No,No,No,1
19,28.86,517.1,9,Two year,Fiber optic,Bank transfer,No,No,Yes,1
36,87.69,3101.78,2,Month-to-month,No,Electronic check,Yes,No,Yes,0
29,26.41,802.5,4,Month-to-month,Fiber optic,Electronic check,No,Yes,No,1
60,79.61,4826.97,8,Two year,DSL,Credit card,No,Yes,Yes,0
2,93.96,189.09,7,Two year,DSL,Credit card,No,No,Yes,1
1,41.1,0.0,9,One year,DSL,Bank transfer,No,No,Yes,1
47,104.16,4975.0,6,Month-to-month,Fiber optic,Mailed check,No,Yes,Yes,1
69,23.04,1552.24,1,Month-to-month,No,Electronic check,No,Yes,No,0
20,104.38,1979.5,10,Two year,Fiber optic,Electronic check,No,No,No,1
11,66.03,749.25,5,One year,No,Electronic check,No,Yes,No,1
2,41.76,28.28,3,Month-to-month,No,Mailed check,No,No,No,1
67,33.38,2285.89,4,Month-to-month,Fiber optic,Bank transfer,No,Yes,Yes,0
12,115.33,1364.9,4,Two year,Fiber optic,Credit card,Yes,Yes,Yes,1
20,27.27,575.59,3,Two year,Fiber optic,Electronic check,No,No,No,1
5,39.91,269.63,3,One year,DSL,Electronic check,No,No,No,1
37,54.78,1966.42,3,One year,Fiber optic,Electronic check,Yes,No,Yes,0
38,82.02,3088.46,10,Month-to-month,Fiber optic,Bank transfer,No,Yes,Yes,1
9,74.48,666.54,1,One year,Fiber optic,Credit card,No,No,No,1
53,32.56,1802.56,0,One year,Fiber optic,Bank transfer,No,No,Yes,0
44,48.97,2121.76,1,Month-to-month,DSL,Electronic check,Yes,Yes,No,0
24,43.88,1023.39,6,Two year,Fiber optic,Electronic check,No,Yes,Yes,1
30,41.35,1264.41,0,Two year,Fiber optic,Bank transfer,No,No,No,1
59,61.11,3576.63,5,Month-to-month,DSL,Electronic check,Yes,No,No,0
14,90.4,1273.23,3,Two year,Fiber optic,Credit card,No,No,No,1
9,41.75,298.17,1,One year,DSL,Electronic check,No,No,Yes,1
40,56.67,2377.52,2,One year,No,Electronic check,No,No,Yes,0
66,59.09,3832.55,6,Two year,DSL,Credit card,No,No,No,0
25,117.65,2925.16,5,Month-to-month,Fiber optic,Bank transfer,No,No,Yes,1
22,115.47,2538.72,5,One year,Fiber optic,Credit card,Yes,Yes,No,1
4,100.01,495.67,7,Month-to-month,DSL,Mailed check,Yes,Yes,Yes,1
26,44.17,1082.18,7,One year,Fiber optic,Electronic check,No,No,No,1
58,26.8,1653.59,5,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,No,0
29,51.69,1536.87,0,Month-to-month,DSL,Bank transfer,No,No,Yes,1
37,46.68,1748.01,9,Month-to-month,DSL,Mailed check,Yes,No,No,1
70,70.59,4892.07,6,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,0
18,97.77,1788.42,7,Month-to-month,DSL,Credit card,Yes,Yes,No,1
42,105.83,4408.69,4,Month-to-month,Fiber optic,Bank transfer,No,No,No,1
41,104.49,4347.42,10,One year,No,Electronic check,No,No,Yes,1
38,55.97,2078.31,3,Two year,DSL,Bank transfer,No,No,Yes,0
34,88.72,3010.82,6,Two year,Fiber optic,Bank transfer,No,No,Yes,1
17,51.28,844.0,10,Two year,Fiber optic,Mailed check,No,Yes,Yes,1
37,26.09,915.95,5,Two year,Fiber optic,Mailed check,No,No,Yes,1
25,90.16,2291.07,5,Month-to-month,DSL,Mailed check,Yes,No,Yes,1
27,20.98,593.23,2,One year,Fiber optic,Credit card,No,Yes,Yes,0
57,60.92,3532.89,10,One year,DSL,Credit card,No,Yes,Yes,0
31,52.94,1552.15,9,Month-to-month,DSL,Bank transfer,No,Yes,No,1
6,89.34,589.25,3,One year,Fiber optic,Electronic check,No,Yes,No,1
40,96.62,3990.07,4,Month-to-month,DSL,Electronic check,Yes,No,Yes,1
12,50.41,582.34,8,Two year,DSL,Electronic check,Yes,No,No,1
53,101.16,5456.24,7,One year,DSL,Mailed check,Yes,Yes,No,0
71,49.39,3493.53,2,Two year,DSL,Electronic check,No,No,Yes,0
10,64.63,577.68,5,Month-to-month,DSL,Bank transfer,No,Yes,No,1
45,92.7,4156.22,9,Month-to-month,DSL,Bank transfer,Yes,No,No,1
17,89.29,1570.34,0,Two year,DSL,Bank transfer,Yes,No,No,0
26,118.74,3045.33,2,Month-to-month,Fiber optic,Bank transfer,Yes,No,No,1
62,42.52,2606.22,9,Month-to-month,DSL,Credit card,No,Yes,No,0
46,86.23,3996.26,6,One year,Fiber optic,Electronic check,Yes,Yes,Yes,1
64,80.97,5182.23,6,Two year,Fiber optic,Credit card,No,Yes,Yes,0
2,111.51,252.25,1,Month-to-month,Fiber optic,Electronic check,Yes,Yes,No,1
54,35.64,1936.45,2,Month-to-month,DSL,Electronic check,No,No,Yes,1
65,95.18,6210.68,6,Month-to-month,No,Credit card,Yes,Yes,Yes,0
51,76.83,3896.71,5,Month-to-month,Fiber optic,Credit card,Yes,No,Yes,1
53,47.47,2527.5,6,Month-to-month,DSL,Bank transfer,No,No,Yes,0
36,67.44,2381.47,9,Two year,DSL,Credit card,No,Yes,Yes,1
26,53.38,1452.3,8,One year,Fiber optic,Electronic check,No,Yes,Yes,1
29,77.93,2228.26,7,Two year,No,Electronic check,Yes,No,No,0
21,108.9,2343.34,5,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,1
11,76.93,834.55,3,One year,Fiber optic,Bank transfer,Yes,Yes,Yes,1
40,83.17,3336.9,9,Two year,DSL,Bank transfer,No,No,Yes,0
11,71.87,765.82,8,One year,Fiber optic,Electronic check,Yes,No,No,1
36,25.12,853.52,6,Month-to-month,DSL,Credit card,Yes,No,No,1
59,43.29,2466.87,4,Two year,Fiber optic,Credit card,Yes,No,Yes,0
39,69.2,2646.03,1,Month-to-month,DSL,Mailed check,Yes,No,Yes,0
54,51.02,2738.88,8,Two year,DSL,Bank transfer,No,Yes,No,0
55,38.18,2110.49,6,Month-to-month,Fiber optic,Electronic check,No,No,No,1
24,70.41,1740.36,8,One year,Fiber optic,Bank transfer,No,No,Yes,1
22,52.28,1127.87,10,Two year,DSL,Credit card,Yes,No,No,1
69,45.81,3116.79,8,Month-to-month,No,Electronic check,Yes,No,Yes,0
56,66.4,3646.26,9,Month-to-month,DSL,Mailed check,Yes,No,Yes,1
33,33.33,1123.89,4,Month-to-month,Fiber optic,Electronic check,Yes,No,No,1
36,112.77,4128.88,6,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,Yes,1
20,106.77,2198.72,4,Month-to-month,Fiber optic,Mailed check,Yes,No,No,1
62,90.76,5662.62,2,One year,No,Bank transfer,No,Yes,Yes,0
26,30.62,828.05,9,Month-to-month,DSL,Credit card,No,No,No,1
66,97.59,6525.82,7,Month-to-month,DSL,Credit card,No,No,Yes,1
40,100.8,4048.6,7,Month-to-month,Fiber optic,Bank transfer,No,No,Yes,1
17,96.78,1677.57,8,Month-to-month,DSL,Electronic check,No,No,Yes,1
1,31.4,15.36,10,One year,DSL,Credit card,Yes,Yes,Yes,1
61,84.39,5079.69,5,One year,Fiber optic,Mailed check,Yes,No,Yes,0
43,103.43,4413.3,1,Two year,Fiber optic,Electronic check,No,Yes,Yes,0
42,77.74,3264.62,2,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,1
25,84.64,2119.04,10,Month-to-month,DSL,Electronic check,No,Yes,No,1
39,65.84,2664.07,9,Month-to-month,DSL,Electronic check,No,Yes,No,1
35,72.87,2554.51,10,Month-to-month,DSL,Bank transfer,No,Yes,Yes,1
3,23.44,129.26,5,One year,Fiber optic,Electronic check,No,Yes,Yes,1
44,83.9,3669.85,0,Two year,DSL,Mailed check,No,No,No,0
51,28.14,1419.56,1,Month-to-month,No,Electronic check,Yes,No,No,0
12,63.5,695.55,7,Month-to-month,DSL,Bank transfer,No,No,Yes,1
19,49.27,899.01,10,One year,No,Bank transfer,No,Yes,Yes,1
44,74.54,3306.11,7,One year,Fiber optic,Mailed check,No,Yes,No,1
59,33.34,1967.44,5,Month-to-month,DSL,Credit card,Yes,Yes,Yes,0
49,89.16,4415.99,2,One year,DSL,Electronic check,No,No,Yes,0
61,99.5,6078.56,1,Two year,DSL,Bank transfer,Yes,No,No,0
17,36.34,600.16,5,Month-to-month,Fiber optic,Bank transfer,No,No,Yes,1
57,30.43,1841.92,0,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,0
55,34.55,1895.55,9,Month-to-month,Fiber optic,Credit card,Yes,Yes,No,0
47,107.71,5120.52,5,One year,Fiber optic,Bank transfer,No,Yes,Yes,0
12,72.82,853.78,8,Month-to-month,Fiber optic,Credit card,No,No,No,1
62,66.73,4172.74,6,Two year,Fiber optic,Electronic check,Yes,Yes,No,0
8,30.67,291.76,8,One year,DSL,Credit card,Yes,No,No,1
21,84.96,1794.58,1,Month-to-month,No,Credit card,No,No,No,1
70,106.8,7358.28,10,Month-to-month,Fiber optic,Electronic check,No,No,No,1
72,102.82,7403.95,4,One year,No,Bank transfer,Yes,No,No,0
25,82.61,2126.77,8,Month-to-month,DSL,Credit card,No,Yes,Yes,1
12,27.53,356.73,6,Two year,No,Electronic check,Yes,Yes,Yes,1
15,31.24,490.89,8,Month-to-month,No,Electronic check,Yes,Yes,No,1
59,24.93,1384.76,10,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,No,0
26,45.75,1153.48,5,One year,Fiber optic,Mailed check,Yes,Yes,Yes,1
26,33.57,893.39,6,Month-to-month,No,Electronic check,No,No,No,1
47,46.0,2182.52,9,One year,No,Credit card,No,Yes,Yes,0
32,58.51,1933.05,4,Month-to-month,Fiber optic,Electronic check,Yes,No,No,1
10,114.3,1135.76,5,One year,Fiber optic,Credit card,Yes,Yes,No,1
16,81.04,1316.93,0,Month-to-month,No,Credit card,No,Yes,No,1
71,103.5,7349.32,0,Month-to-month,DSL,Mailed check,Yes,No,No,0
17,91.04,1498.33,1,One year,DSL,Bank transfer,Yes,No,No,1
23,31.25,605.96,10,Month-to-month,No,Mailed check,Yes,No,No,1
26,93.59,2454.89,3,Month-to-month,No,Credit card,No,No,No,1
7,47.51,341.27,10,Month-to-month,No,Credit card,Yes,No,Yes,1
14,83.91,1143.83,8,Month-to-month,Fiber optic,Bank transfer,No,No,Yes,1
7,54.1,297.74,6,Two year,Fiber optic,Bank transfer,No,Yes,No,1
9,119.77,1109.42,5,Month-to-month,No,Electronic check,Yes,No,No,1
48,46.36,2211.98,0,One year,DSL,Electronic check,Yes,No,Yes,0
72,47.91,3477.36,4,Month-to-month,Fiber optic,Electronic check,No,No,No,0
59,113.07,6764.33,10,Month-to-month,Fiber optic,Electronic check,No,No,No,1
39,22.46,768.87,3,One year,DSL,Electronic check,No,No,Yes,0
18,89.67,1579.08,4,Month-to-month,DSL,Mailed check,Yes,No,No,1
59,92.53,5448.8,10,One year,Fiber optic,Bank transfer,Yes,Yes,Yes,0
17,103.64,1834.62,8,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,1
14,117.44,1562.34,2,Month-to-month,DSL,Bank transfer,Yes,No,No,1
31,117.56,3741.15,3,One year,Fiber optic,Electronic check,No,No,Yes,1
24,26.53,643.51,7,Month-to-month,Fiber optic,Mailed check,Yes,Yes,No,1
60,102.18,6126.0,2,One year,Fiber optic,Credit card,No,No,Yes,0
45,84.63,3798.45,2,Month-to-month,DSL,Electronic check,Yes,No,Yes,1
3,84.73,232.38,8,One year,Fiber optic,Mailed check,No,No,Yes,1
37,32.83,1267.12,4,Month-to-month,DSL,Bank transfer,No,Yes,No,1
43,85.02,3602.43,9,One year,DSL,Mailed check,Yes,No,Yes,1
40,118.25,4747.27,0,Two year,DSL,Credit card,Yes,No,No,0
55,111.18,6095.69,6,Month-to-month,Fiber optic,Electronic check,No,No,Yes,1
39,63.91,2454.38,6,Month-to-month,DSL,Mailed check,No,Yes,Yes,0
15,23.99,489.15,5,Two year,DSL,Bank transfer,No,No,Yes,1
4,56.23,245.87,5,Month-to-month,DSL,Bank transfer,Yes,No,Yes,1
25,102.64,2596.66,2,One year,No,Credit card,No,No,Yes,0
13,90.15,1228.84,2,Two year,No,Credit card,Yes,No,No,1
33,65.93,2104.62,9,One year,DSL,Bank transfer,Yes,No,Yes,0
16,25.51,495.77,10,Month-to-month,DSL,Electronic check,Yes,No,Yes,1
42,62.69,2507.53,8,Month-to-month,No,Mailed check,Yes,No,Yes,1
66,66.9,4376.96,0,Month-to-month,DSL,Electronic check,Yes,No,Yes,0
55,112.86,6184.35,6,Month-to-month,DSL,Electronic check,No,Yes,No,1
42,84.11,3561.71,10,Month-to-month,DSL,Electronic check,Yes,No,Yes,1
34,51.17,1750.72,9,One year,No,Electronic check,No,Yes,Yes,1
30,72.53,2167.56,6,Month-to-month,Fiber optic,Electronic check,Yes,Yes,No,1
13,26.61,345.33,7,Two year,DSL,Electronic check,No,No,Yes,1
13,117.26,1475.48,5,Two year,DSL,Bank transfer,Yes,No,Yes,1
18,56.01,933.32,7,Two year,No,Credit card,Yes,Yes,No,1
32,67.79,2205.61,0,Month-to-month,Fiber optic,Electronic check,Yes,No,No,1
39,55.53,2200.36,0,One year,Fiber optic,Credit card,Yes,No,No,0
46,88.25,4138.72,8,Month-to-month,DSL,Bank transfer,Yes,No,Yes,0
29,86.22,2460.88,3,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,1
62,91.53,5709.5,2,One year,DSL,Mailed check,Yes,No,Yes,0
62,46.81,2888.03,5,Two year,Fiber optic,Electronic check,Yes,Yes,No,0
57,51.57,2999.01,9,Month-to-month,DSL,Bank transfer,Yes,Yes,No,0
16,32.53,571.58,8,Month-to-month,DSL,Electronic check,No,No,Yes,1
56,85.55,4801.36,9,Month-to-month,Fiber optic,Mailed check,No,No,Yes,1
10,23.98,222.82,10,One year,No,Electronic check,No,No,Yes,1
30,79.77,2441.15,3,Two year,Fiber optic,Bank transfer,No,No,No,1
25,106.97,2706.6,8,Month-to-month,DSL,Electronic check,No,Yes,No,1
5,109.08,511.18,4,Month-to-month,Fiber optic,Bank transfer,Yes,No,No,1
65,64.9,4152.11,6,Two year,Fiber optic,Mailed check,Yes,No,Yes,0
49,65.93,3216.14,2,Month-to-month,Fiber optic,Electronic check,No,Yes,No,0
3,27.7,158.87,2,One year,Fiber optic,Electronic check,Yes,No,Yes,1
45,87.08,3975.92,2,Month-to-month,DSL,Electronic check,No,Yes,Yes,1
14,102.13,1374.2,7,Month-to-month,Fiber optic,Mailed check,No,No,Yes,1
30,44.47,1275.71,5,Month-to-month,DSL,Bank transfer,No,Yes,No,1
68,62.13,4288.57,8,One year,No,Bank transfer,Yes,No,Yes,0
18,103.88,1813.06,8,Month-to-month,Fiber optic,Credit card,No,Yes,Yes,1
62,107.71,6703.48,7,Month-to-month,Fiber optic,Electronic check,Yes,Yes,No,1
37,44.32,1609.04,0,Month-to-month,DSL,Electronic check,No,No,No,1
25,75.06,1957.35,5,One year,DSL,Electronic check,Yes,No,No,0
48,39.25,1845.48,3,Two year,Fiber optic,Electronic check,No,No,Yes,0
65,30.19,2019.52,3,Two year,DSL,Bank transfer,No,No,No,0
53,111.11,5898.07,2,Month-to-month,No,Credit card,Yes,No,No,1
15,102.05,1543.36,8,Two year,Fiber optic,Bank transfer,Yes,Yes,No,1
49,96.0,4605.48,1,Month-to-month,DSL,Electronic check,Yes,No,No,0
68,24.88,1581.69,0,Month-to-month,DSL,Electronic check,No,No,Yes,0
12,104.37,1241.41,9,One year,Fiber optic,Electronic check,No,No,Yes,1
59,63.8,3776.55,2,Month-to-month,DSL,Credit card,Yes,No,No,0
37,54.24,1950.62,3,Month-to-month,Fiber optic,Credit card,Yes,No,No,1
61,74.65,4499.22,3,Month-to-month,Fiber optic,Mailed check,No,No,Yes,0
43,29.14,1281.09,5,One year,DSL,Credit card,Yes,No,Yes,0
70,95.66,6724.34,0,Month-to-month,Fiber optic,Bank transfer,No,No,No,0
39,78.24,3044.47,0,Month-to-month,Fiber optic,Credit card,Yes,No,No,1
56,38.66,2203.97,1,Two year,No,Electronic check,No,No,No,0
63,38.82,2386.95,3,One year,Fiber optic,Bank transfer,Yes,Yes,No,0
46,38.42,1749.52,6,One year,Fiber optic,Credit card,Yes,Yes,Yes,0
11,25.7,365.09,5,Month-to-month,DSL,Electronic check,No,No,No,1
62,78.78,4887.78,10,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,No,0
25,104.03,2607.07,8,Month-to-month,DSL,Credit card,No,No,No,1
71,21.75,1659.55,6,One year,Fiber optic,Electronic check,No,No,No,0
52,24.9,1224.83,4,One year,DSL,Electronic check,Yes,No,No,0
4,77.28,348.94,5,Two year,Fiber optic,Bank transfer,No,No,Yes,1
59,101.95,6098.25,9,Month-to-month,DSL,Credit card,Yes,Yes,Yes,0
72,52.67,3776.0,8,Month-to-month,Fiber optic,Credit card,No,No,No,0
20,54.96,1142.18,0,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,1
63,79.63,4967.59,10,Month-to-month,Fiber optic,Electronic check,Yes,Yes,Yes,0
54,47.42,2526.34,8,Month-to-month,No,Bank transfer,No,No,No,1
57,22.66,1310.87,5,Two year,Fiber optic,Bank transfer,No,Yes,Yes,0
41,93.52,3874.25,3,One year,DSL,Credit card,No,No,Yes,1
3,82.56,303.73,4,Month-to-month,Fiber optic,Bank transfer,No,No,Yes,1
6,78.08,546.96,0,One year,Fiber optic,Credit card,No,Yes,No,1
5,94.17,467.48,6,Month-to-month,Fiber optic,Mailed check,No,No,No,1
5,87.52,497.28,7,Two year,No,Electronic check,Yes,No,Yes,1
54,40.59,2174.74,10,One year,DSL,Bank transfer,Yes,No,No,0
47,55.25,2641.85,4,Month-to-month,No,Mailed check,No,Yes,Yes,0
49,32.61,1608.26,1,One year,DSL,Credit card,No,No,Yes,0
9,32.99,319.19,7,One year,Fiber optic,Credit card,No,No,Yes,1
20,87.62,1773.58,9,Month-to-month,DSL,Mailed check,Yes,No,No,1
61,105.86,6377.22,6,Month-to-month,DSL,Bank transfer,No,Yes,No,0
35,116.27,4013.24,9,Month-to-month,No,Mailed check,Yes,No,Yes,1
50,82.83,4146.63,8,Month-to-month,Fiber optic,Electronic check,No,No,No,1
62,38.41,2297.06,3,Month-to-month,No,Mailed check,No,Yes,Yes,0
17,30.57,561.25,10,One year,DSL,Electronic check,Yes,No,No,1
3,101.29,347.45,8,Month-to-month,Fiber optic,Credit card,No,No,Yes,1
32,77.88,2508.52,3,One year,Fiber optic,Mailed check,Yes,Yes,No,1
13,81.83,1007.73,2,Two year,DSL,Credit card,Yes,Yes,No,0
68,98.15,6743.21,10,One year,DSL,Electronic check,Yes,Yes,No,0
14,90.33,1366.48,2,One year,DSL,Electronic check,No,Yes,Yes,1
11,103.45,1145.3,9,Two year,No,Electronic check,Yes,Yes,Yes,1
56,25.62,1460.25,1,One year,Fiber optic,Electronic check,Yes,Yes,No,0
67,94.75,6358.34,9,Month-to-month,Fiber optic,Electronic check,Yes,Yes,Yes,0
29,105.09,3074.13,2,Month-to-month,DSL,Electronic check,No,Yes,No,1
9,48.61,431.51,7,One year,DSL,Electronic check,Yes,Yes,Yes,1
67,84.04,5628.95,10,One year,Fiber optic,Bank transfer,No,No,Yes,0
25,51.42,1330.79,7,Two year,No,Mailed check,No,No,No,1
42,115.8,4980.88,1,One year,Fiber optic,Electronic check,No,No,Yes,1
9,23.34,140.06,10,Two year,Fiber optic,Electronic check,No,Yes,No,1
40,77.98,3114.01,1,Month-to-month,Fiber optic,Mailed check,No,Yes,No,1
25,36.65,857.23,1,One year,No,Credit card,Yes,Yes,No,0
5,91.22,535.7,9,Two year,Fiber optic,Bank transfer,Yes,Yes,No,1
11,37.59,384.1,6,Month-to-month,No,Electronic check,No,No,Yes,1
59,43.54,2496.7,5,Month-to-month,DSL,Credit card,No,No,No,0
38,69.44,2670.63,10,Month-to-month,Fiber optic,Electronic check,No,Yes,No,1
72,111.48,8113.78,0,One year,Fiber optic,Mailed check,No,No,Yes,0
5,41.17,239.03,1,Month-to-month,Fiber optic,Credit card,No,No,No,1
48,34.42,1662.4,0,One year,Fiber optic,Mailed check,Yes,No,No,0
18,95.9,1746.66,10,Month-to-month,DSL,Mailed check,Yes,Yes,No,1
70,70.06,4974.94,6,Month-to-month,DSL,Bank transfer,Yes,Yes,No,0
37,111.18,4069.95,5,Two year,No,Electronic check,No,No,No,0
60,34.66,2074.01,1,Month-to-month,DSL,Credit card,Yes,Yes,Yes,0
48,84.59,4037.69,1,Month-to-month,No,Electronic check,No,No,Yes,1
28,43.29,1153.73,1,Month-to-month,Fiber optic,Bank transfer,No,Yes,No,1
69,35.68,2445.5,7,One year,Fiber optic,Mailed check,No,Yes,No,0
40,88.34,3588.99,6,Month-to-month,No,Credit card,Yes,Yes,No,0
45,79.37,3599.98,0,Month-to-month,Fiber optic,Electronic check,Yes,Yes,Yes,0
62,95.48,5951.98,3,Two year,Fiber optic,Electronic check,Yes,No,No,0
58,50.95,2962.42,10,Month-to-month,DSL,Credit card,No,Yes,No,0
67,64.8,4367.77,3,Month-to-month,No,Electronic check,Yes,Yes,No,0
56,60.55,3350.77,6,Month-to-month,Fiber optic,Mailed check,No,No,Yes,1
40,118.41,4720.92,1,Month-to-month,Fiber optic,Electronic check,No,Yes,No,1
40,49.22,1978.4,3,Month-to-month,Fiber optic,Electronic check,Yes,Yes,No,1
33,49.48,1646.72,0,One year,DSL,Electronic check,Yes,Yes,Yes,0
6,55.45,348.71,10,Two year,No,Electronic check,No,Yes,No,1
19,76.46,1445.82,10,Month-to-month,DSL,Credit card,No,No,Yes,1
40,45.23,1790.33,3,One year,DSL,Electronic check,No,Yes,No,0
59,111.53,6738.16,10,Month-to-month,DSL,Electronic check,Yes,No,No,1
59,46.57,2792.97,0,One year,DSL,Electronic check,Yes,No,No,0
48,109.58,5280.5,1,Month-to-month,Fiber optic,Credit card,Yes,No,Yes,0
41,30.35,1232.69,1,Month-to-month,DSL,Credit card,No,No,Yes,1
13,85.66,1091.02,9,Month-to-month,DSL,Electronic check,Yes,Yes,No,1
45,110.7,4974.96,2,Month-to-month,DSL,Credit card,No,No,Yes,0
53,36.87,1968.75,7,One year,Fiber optic,Bank transfer,No,No,No,0
42,116.83,4812.84,10,One year,Fiber optic,Bank transfer,No,No,Yes,1
63,65.29,4034.8,5,Month-to-month,Fiber optic,Electronic check,Yes,No,No,0
27,114.57,3061.55,5,Two year,Fiber optic,Mailed check,No,Yes,Yes,1
38,87.68,3342.2,8,Month-to-month,Fiber optic,Mailed check,No,Yes,Yes,1
60,50.16,2997.64,7,One year,DSL,Bank transfer,Yes,Yes,No,0
7,38.83,345.72,1,Month-to-month,No,Bank transfer,Yes,No,Yes,1
5,50.37,177.73,5,Month-to-month,DSL,Mailed check,No,No,Yes,1
45,29.3,1280.93,0,Month-to-month,DSL,Mailed check,No,No,No,0
58,34.39,2070.62,8,Month-to-month,Fiber optic,Credit card,Yes,No,No,0
31,30.47,951.13,3,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,1
23,62.29,1476.91,3,One year,No,Bank transfer,Yes,Yes,No,0
42,99.56,4284.08,8,One year,DSL,Electronic check,Yes,No,No,0
10,34.14,306.71,2,One year,Fiber optic,Credit card,Yes,No,Yes,1
32,33.03,1051.99,4,Two year,Fiber optic,Mailed check,No,No,Yes,1
53,84.34,4456.4,0,Two year,DSL,Electronic check,No,Yes,Yes,0
30,39.72,1093.87,5,One year,DSL,Credit card,Yes,No,No,0
39,29.76,1145.12,2,One year,Fiber optic,Electronic check,Yes,Yes,No,0
31,36.68,1181.13,0,Month-to-month,DSL,Bank transfer,Yes,Yes,Yes,1
2,112.37,251.77,9,Two year,DSL,Credit card,Yes,Yes,No,1
12,102.15,1256.75,5,Two year,DSL,Bank transfer,No,No,Yes,1
39,55.41,2142.21,9,Month-to-month,DSL,Electronic check,Yes,Yes,Yes,1
66,85.58,5615.48,1,Month-to-month,DSL,Credit card,Yes,Yes,No,0
13,73.73,1021.95,7,Two year,DSL,Electronic check,Yes,No,No,1
46,87.71,4009.79,10,Month-to-month,DSL,Electronic check,Yes,No,Yes,1
27,88.27,2397.99,1,Month-to-month,No,Electronic check,No,Yes,No,1
17,82.87,1416.96,3,Month-to-month,DSL,Credit card,No,Yes,No,1
60,46.61,2869.69,2,Month-to-month,Fiber optic,Credit card,Yes,No,Yes,0
64,23.9,1578.17,8,Month-to-month,No,Bank transfer,Yes,No,Yes,0
35,65.56,2229.84,1,Month-to-month,No,Bank transfer,No,No,No,0
70,109.1,7577.62,2,Month-to-month,DSL,Electronic check,No,No,No,0
30,76.95,2337.45,6,Two year,DSL,Mailed check,Yes,Yes,No,0
71,103.24,7326.82,3,Month-to-month,Fiber optic,Credit card,Yes,No,Yes,0
63,119.16,7484.32,5,Month-to-month,No,Electronic check,Yes,No,Yes,1
28,36.36,1068.86,2,Month-to-month,DSL,Credit card,Yes,No,Yes,1
